Vis,U,V,W
 (-1.575604826211929321e-01+1.911944491439498961e-05j), (-1.688443698430529184e+04+0.000000000000000000e+00j), (2.771871465914302007e+03+0.000000000000000000e+00j), (-5.677668650959141814e+03+0.000000000000000000e+00j)
 (3.050737380981445312e-01+-1.319678722211392596e-05j), (-2.042781087142042816e+04+0.000000000000000000e+00j), (3.500186940941938246e+03+0.000000000000000000e+00j), (-6.980285479013322401e+03+0.000000000000000000e+00j)
 (8.974524140357971191e-01+2.956668367914971896e-06j), (-1.276606154164728423e+03+0.000000000000000000e+00j), (-5.737417639492618946e+02+0.000000000000000000e+00j), (1.196530595999262914e+03+0.000000000000000000e+00j)
 (7.914735078811645508e-01+7.528390597144607455e-06j), (-1.187159974279203425e+03+0.000000000000000000e+00j), (-1.005708601489203375e+03+0.000000000000000000e+00j), (2.090898770624935423e+03+0.000000000000000000e+00j)
 (5.826872587203979492e-01+1.600973337190225720e-05j), (-1.048904554831647147e+03+0.000000000000000000e+00j), (-1.676340328389402885e+03+0.000000000000000000e+00j), (3.471491223373178400e+03+0.000000000000000000e+00j)
 (3.537580370903015137e-01+2.222819784947205335e-05j), (-8.932596362523458993e+02+0.000000000000000000e+00j), (-2.429662282537165083e+03+0.000000000000000000e+00j), (5.026378730772394192e+03+0.000000000000000000e+00j)
 (1.665232330560684204e-01+1.570484891999512911e-05j), (-6.961146604553659927e+02+0.000000000000000000e+00j), (-3.384911321148389561e+03+0.000000000000000000e+00j), (6.995004221009206049e+03+0.000000000000000000e+00j)
 (1.019155383110046387e-01+-1.344243173662107438e-05j), (-4.684810178193110914e+02+0.000000000000000000e+00j), (-4.486536842477930804e+03+0.000000000000000000e+00j), (9.269030952776711274e+03+0.000000000000000000e+00j)
 (7.577903568744659424e-02+-4.728763087769038975e-05j), (-2.119234555420969173e+02+0.000000000000000000e+00j), (-5.724705451727885702e+03+0.000000000000000000e+00j), (1.183351404134762379e+04+0.000000000000000000e+00j)
 (-6.138147041201591492e-02+-3.547147571225650609e-05j), (7.235796986400305286e+01+0.000000000000000000e+00j), (-7.097711938165425636e+03+0.000000000000000000e+00j), (1.467425438227033374e+04+0.000000000000000000e+00j)
 (-2.738755345344543457e-01+4.318673745729029179e-05j), (3.832727372877418475e+02+0.000000000000000000e+00j), (-8.601573172428690668e+03+0.000000000000000000e+00j), (1.778029236825465341e+04+0.000000000000000000e+00j)
 (7.284321188926696777e-01+-6.206438683875603601e-06j), (1.684078624500337355e+03+0.000000000000000000e+00j), (4.973414374528531425e+02+0.000000000000000000e+00j), (-1.028161741703531789e+03+0.000000000000000000e+00j)
 (3.856606185436248779e-01+6.543355084431823343e-06j), (3.700729484067017438e+03+0.000000000000000000e+00j), (1.098223262186619422e+03+0.000000000000000000e+00j), (-2.256675905673636407e+03+0.000000000000000000e+00j)
 (1.119751781225204468e-01+-1.054264521371806040e-05j), (6.029229146544995274e+03+0.000000000000000000e+00j), (1.782567188682701271e+03+0.000000000000000000e+00j), (-3.679907727746148339e+03+0.000000000000000000e+00j)
 (2.772286832332611084e-01+3.336755253258161247e-05j), (8.653784626800228580e+03+0.000000000000000000e+00j), (2.563141293283861160e+03+0.000000000000000000e+00j), (-5.279131807835083237e+03+0.000000000000000000e+00j)
